hospital_id,hospital_name,empanelled_for,address,region,list_type,applicable_rate,contact_person
HOSP0125,Medanta The Medicity,Superspecialities,"Sec-38, Gurugram, Haryana-122001",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Ajay Sharma, 9560398909"
HOSP0126,Panchsheel Hospitals Pvt Ltd,Multispeciality,"C3/63A,64A Yamuna Vihar, Delhi-52",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Dr V.K. Goyal, 9810106800"
HOSP0127,Metro Heart Institute With Multispeciality,Multispeciality,"Sec-16A, Faridabad, Haryana-121002",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Bikram, 9711380456"
HOSP0128,NKS Hospital (Nazar Kanwar Surana),Multispeciality,"219/220 Gulabi Bagh, Delhi-7",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Dr D S Chhatwal, 8130894506"
HOSP0129,Prayag Hospital & Research Centre Pvt Ltd,Multispeciality,"J206/A-1, Sec-41, Noida, UP",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"S.K. Shukla, 9350253418"
HOSP0130,Saroj Superspeciality Hospital,All Specialities,"Plot 2, Sec-14 Extn, Rohini, Delhi-89",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Puneet Rai, 8448697359"
HOSP0131,St. Stephen's Hospital,Multispeciality,"Tis Hazari, Delhi-54",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Thampy Mathews, 011-23966021"
HOSP0132,Max Hospital Gurugram (Sushant Lok),Multispeciality,"B-Block, Sushant Lok-1, Gurugram-122001",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Jatin, 9599767288"
HOSP0133,Max Vaishali (Crosslay Remedies Ltd),Multispeciality,"W-3, Sec-1, Vaishali, Ghaziabad-201012",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Sudhanshu, 8527203300"
HOSP0134,Max Super Speciality Hospital (Patparganj),Multispeciality,"108-A, IP Extension, Patparganj, New Delhi-92",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Praveen, 7018937075"
HOSP0135,"Max Superspeciality Hospital 1 (West Block, Saket)",Multispeciality,"1, Press Enclave Road, Saket, New Delhi-17",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Abhilash, 9911063557"
HOSP0136,"Max Superspeciality Hospital 2 (East Block, Saket)",Multispeciality,"2, Press Enclave Road, Saket, New Delhi-17",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Abhilash, 9911063557"
HOSP0137,Max Multi Speciality Centre,Multispeciality,"N-110, Panchsheel Park, New Delhi-88",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Milind, 9821830361"
HOSP0138,Max Institute of Cancer Care,Oncology,"26A Ring Road, Lajpat Nagar 4, New Delhi-29",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Abhilash, 9911063557"
HOSP0139,Max Super Speciality Hospital (Shalimar Bagh),Multispeciality,"FC50, C&D Block, Shalimar Bagh, New Delhi-88",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Urvashi Singhal, 9811574552"
HOSP0140,Santom Hospital,Multispeciality,"D-5&6 Prashant Vihar, Outer Ring Road, Rohini, Delhi",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Sushma Malik, 9873205961"
HOSP0141,Fortis Hospital Shalimar Bagh,Multispeciality,"A Block, Shalimar Bagh, New Delhi-88",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Neeraj Kumar Tiwari, 9811504185"
HOSP0142,Primus Super Speciality Hospital,All Medical Services,"Chandragupt Marg, Chanakya Puri, New Delhi-21",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Nancy Verma, 7303543837"
HOSP0143,Divya Prastha Hospital,Multispeciality,"RZ-37 Palam Colony Main Road, Raj Nagar-1, New Delhi-45",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Gyan Vats, 9810984960"
HOSP0144,Sir Ganga Ram Hospital,Multispeciality,"Old Rajinder Nagar, Delhi-60",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Deepak Jain, 9560433511"
HOSP0145,Pushpawati Singhania Research Institute,Multispeciality,"Press Enclave Marg, Sheikh Sarai Phase-II, New Delhi-17",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Ankur Bhatt, 7982444177"
HOSP0146,Max Smart Superspecialty Hospital,Multispeciality,"Mandir Marg, Press Enclave Road, Saket, New Delhi-17",Delhi/NCR,Cashless/Credit,See rate details in office order Annexure C,"Abhilash, 9911063557"
HOSP0147,Dr Lal Pathological Labs,Diagnostic Services,48 collection centres across Delhi NCR (see lal_pathlabs_centres.csv for full list),Delhi/NCR,Nominated - Lal PathLabs Centre,Hospital rates with 20% discount,"Jitendra Sharma, 8527999141"
